# UName,Address,Continent,Country,Country,Code,State/City,Provider,Coordinates (Long),Coordinates (Lat)
us-east1,us-east1-gce.cloudharmony.net,North America,United States of America,US,South Carolina,Google,-80.02,33.03
us-east4,us-east4-gce.cloudharmony.net,North America,United States of America,US,Virginia,Google,-77.4852,39.0403
lin-us-west,speedtest.fremont.linode.com,North America,United States of America,US,Fremont,Linode,-121.9886,37.5485
lin-us-southeast,speedtest.atlanta.linode.com,North America,United States of America,US,Georgia,Linode,-83,32.3
lin-us-east,speedtest.newark.linode.com,North America,United States of America,US,Newark,Linode,-74.1724,40.7357
lin-us-central,speedtest.dallas.linode.com,North America,United States of America,US,Texas,Linode,-96.8455,32.6462
ast-west-us,us-west.azure.cloudharmony.net,North America,United States of America,US,California,Microsoft,-122.419416,37.774929
ast-north-central-us,us-northcentral.azure.cloudharmony.net,North America,United States of America,US,Illinois,Microsoft,-87.629798,41.878114
ast-central-us,us-central.azure.cloudharmony.net,North America,United States of America,US,Iowa,Microsoft,-93.4725,41.65
ast-south-central-us,us-southcentral.azure.cloudharmony.net,North America,United States of America,US,Texas,Microsoft,98.493628,29.424122
ast-east-us,us-east.azure.cloudharmony.net,North America,United States of America,US,Virginia,Microsoft,36.667143,-78.388751
ast-east-us-2,us-east2.azure.cloudharmony.net,North America,United States of America,US,Virginia,Microsoft,36.667143,-78.388751
ast-west-us-2,us-west2.azure.cloudharmony.net,North America,United States of America,US,Washington,Microsoft,-120.7401,47.7511
ast-west-central-us,us-westcentral.azure.cloudharmony.net,North America,United States of America,US,Wyoming,Microsoft,-107.2903,43.076
sjo-ca,sjo-ca-us-ping.vultr.com,North America,United States of America,US,California,Vultr,-121.8863,37.3382
lax-ca,lax-ca-us-ping.vultr.com,North America,United States of America,US,California,Vultr,-122.0575,37.3875
fl-us,fl-us-ping.vultr.com,North America,United States of America,US,Florida,Vultr,-81.5158,27.6648
ga-us,ga-us-ping.vultr.com,North America,United States of America,US,Georgia,Vultr,-82.9001,32.1656
il-us,il-us-ping.vultr.com,North America,United States of America,US,Illinois,Vultr,-89.3985,-40.6331
nj-us,nj-us-ping.vultr.com,North America,United States of America,US,New York,Vultr,-74.006,40.7128
tx-us,tx-us-ping.vultr.com,North America,United States of America,US,Texas,Vultr,-96.797,32.7767
wa-us,wa-us-ping.vultr.com,North America,United States of America,US,Washington,Vultr,-120.6715,47.65378
